2024-04-26 10:21:07,478 INFO    MainThread:169397 [wandb_setup.py:_flush():68] Configure stats pid to 169397
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_setup.py:_flush():68] Loading settings from /home/cooperhepworth/.config/wandb/settings
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_setup.py:_flush():68] Loading settings from /home/cooperhepworth/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/settings
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:_log_setup():478] Logging user logs to /home/cooperhepworth/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240426_102107-mf48su72/logs/debug.log
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:_log_setup():479] Logging internal logs to /home/cooperhepworth/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240426_102107-mf48su72/logs/debug-internal.log
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f559bb30f70>
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:init():518] calling init triggers
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2024-04-26 10:21:07,479 INFO    MainThread:169397 [wandb_init.py:init():537] re-initializing run, found existing run on stack: 6z6auyq4
2024-04-26 10:21:07,480 INFO    MainThread:169397 [wandb_run.py:_finish():1844] finishing run cooper-hepworth/nyc_airbnb/6z6auyq4
2024-04-26 10:21:07,480 INFO    MainThread:169397 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2024-04-26 10:21:07,480 INFO    MainThread:169397 [wandb_run.py:_restore():2053] restore
2024-04-26 10:21:07,480 INFO    MainThread:169397 [wandb_run.py:_restore():2059] restore done
2024-04-26 10:21:13,560 INFO    MainThread:169397 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2024-04-26 10:21:13,560 INFO    MainThread:169397 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2024-04-26 10:21:13,564 INFO    MainThread:169397 [wandb_run.py:_footer_sync_info():3383] logging synced files
2024-04-26 10:21:13,570 INFO    MainThread:169397 [wandb_init.py:init():571] starting backend
2024-04-26 10:21:13,570 INFO    MainThread:169397 [wandb_init.py:init():575] setting up manager
2024-04-26 10:21:13,572 INFO    MainThread:169397 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-26 10:21:13,572 INFO    MainThread:169397 [wandb_init.py:init():582] backend started and connected
2024-04-26 10:21:13,573 INFO    MainThread:169397 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2024-04-26 10:21:13,576 INFO    MainThread:169397 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-04-26 10:21:13,576 INFO    MainThread:169397 [wandb_init.py:init():670] updated telemetry
2024-04-26 10:21:13,584 INFO    MainThread:169397 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2024-04-26 10:21:15,798 INFO    MainThread:169397 [wandb_run.py:_on_init():2121] communicating current version
2024-04-26 10:21:15,995 INFO    MainThread:169397 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-26 10:21:15,995 INFO    MainThread:169397 [wandb_init.py:init():758] starting run threads in backend
2024-04-26 10:21:17,543 INFO    MainThread:169397 [wandb_run.py:_console_start():2101] atexit reg
2024-04-26 10:21:17,544 INFO    MainThread:169397 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2024-04-26 10:21:17,544 INFO    MainThread:169397 [wandb_run.py:_redirect():2024] Wrapping output streams.
2024-04-26 10:21:17,544 INFO    MainThread:169397 [wandb_run.py:_redirect():2046] Redirects installed.
2024-04-26 10:21:17,544 INFO    MainThread:169397 [wandb_init.py:init():798] run started, returning control to user process
